index	cafe_kr	cafe_en
0	탄 음식	Burnt Food
1	양산형 칼	Butter Knife
2	탄소강 칼	Carbon-Steel Knife
3	휴대용 칼	Portable Knife
4	날카로운 칼	Sharp Knife
5	겐지의 단검	Genji's Dagger
6	고급 부엌칼	Kitchen Knife
7	헤드셰프의 칼	Head Chef's Knife
8	에너지 드링크	Energy Drink
9	수상한 드링크	Suspicious Drinks
10	점프 부츠	Jump Boots
11	조미료 팩	Seasoning Packets
12	청소기	Vacuum
13	대시 부츠	Dash Boots
14	텔레포트 스펠	Teleport Spell
15	요리 복사 스펠	Food Dupe Spell
16	토치	Gas Torch
17	서빙볼	ServingBall
18	$100	$100
19	물	Water
20	얼음	Ice
21	원두	Coffee Beans
22	커피가루	Ground Coffee
23	에스프레소	Espresso
24	아메리카노	Americano
25	아메리카노(아이스)	Iced Americano
26	우유	Milk
27	스팀 밀크	Steamed Milk
28	카페 라떼	Latte
29	카페 라떼(아이스)	Iced Latte
30	바닐라 시럽	Vanilla Syrup
31	바닐라 라떼	Vanilla Latte
32	바닐라 라떼(아이스)	Iced Vanilla Latte
33	카라멜 시럽	Caramel Syrup
34	카라멜 마키아토	Caramel Macchiato
35	카라멜 마키아토(아이스)	Iced Caramel Macchiato
36	초코 시럽	Chocolate Syrup
37	카페 모카	Mocha
38	카페 모카(아이스)	Iced Mocha
39	커피 프라페	Coffee Frappe
40	얼린 우유	Frozen Milk
41	빙수 베이스	Shaved Ice Base
42	단팥	Sweet Red Beans
43	팥빙수	Red Bean Shaved Ice
44	콩가루	Soybean Powder
45	인절미 빙수	Injeolmi Shaved Ice
46	팥절미 빙수	Red Bean Injeolmi Shaved Ice
47	딸기	Strawberry
48	썬 딸기	Sliced Strawberry
49	딸기 빙수	Strawberry Shaved Ice
50	초코 빙수	Chocolate Shaved Ice
51	딸기초코 빙수	Strawberry Chocolate Shaved Ice
52	녹차가루	Matcha Powder
53	녹차 빙수	Matcha Shaved Ice
54	녹차 팥빙수	Matcha Red Bean Shaved Ice
55	녹차초코 빙수	Matcha Chocolate Shaved Ice
56	초콜릿	Chocolate
57	초콜릿 칩	Chocolate Chips
58	녹인 초콜릿	Melted Chocolate
59	초코우유	Chocolate Milk
60	민트 시럽	Mint Syrup
61	민트초코우유	Mint Chocolate Milk
62	쿠키 반죽	Cookie Dough
63	쿠키	Cookie
64	초코칩 쿠키 반죽	Chocolate Chip Cookie Dough
65	초코칩 쿠키	Chocolate Chip Cookie
66	초코 쿠키 반죽	Chocolate Cookie Dough
67	초코 쿠키	Chocolate Cookie
68	아몬드	Almond
69	아몬드 슬라이스	Sliced Almonds
70	구운 아몬드	Roasted Almonds
71	아몬드 초콜릿	Almond Chocolate
72	통 아몬드 쿠키 반죽	Whole Almond Cookie Dough
73	통 아몬드 쿠키	Whole Almond Cookie
74	아몬드 쿠키 반죽	Almond Cookie Dough
75	아몬드 쿠키	Almond Cookie
76	아몬드 초코칩 쿠키 반죽	Almond Choco Chip Cookie Dough
77	아몬드 초코칩 쿠키	Almond Choco Chip Cookie
78	아이스 초코	Iced Chocolate
79	초코 프라페	Chocolate Frappe
80	아이스 민트초코	Iced Mint Chocolate
81	민트초코 프라페	Mint Chocolate Frappe
82	늘린 빵 반죽	Stretched Bread Dough
83	베이글 반죽	Bagel Dough
84	베이글	Bagel
85	설탕	Sugar
86	녹인 설탕	Melted Sugar
87	호떡 반죽	Hotteok Batter
88	호떡	Hotteok
89	도넛	Donut
90	설탕 도넛	Sugar Donut
91	글레이즈 도넛	Glazed Donut
92	으깬 딸기	Mashed Strawberry
93	딸기+설탕	Strawberry+Sugar
94	딸기잼	Strawberry Jam
95	딸기잼 도넛	Strawberry Jam Donut
96	초코 도넛	Choco Donut
97	생크림	Whipped Cream
98	생크림 도넛	Whipped Cream Donut
99	딸기크림	Strawberry Cream
100	딸기크림 도넛	Strawberry Cream Donut
101	초코크림	Chocolate Cream
102	초코크림 도넛	Chocolate Cream Donut
103	녹차크림	Matcha Cream
104	녹차크림 도넛	Matcha Cream Donut
105	찻잎	Tea Leaves
106	찻잎+물	Matcha+Water
107	녹차	Matcha
108	우롱차 잎	Oolong Tea Leaves
109	우롱차 잎+물	Oolong Tea Leaves+Water
110	우롱차	Oolong Tea
111	비빈 찻잎	Brewed Tea Leaves
112	홍차 잎	Black Tea Leaves
113	홍차 잎+물	Black Tea Leaves+Water
114	홍차	Black Tea
115	허브	Herbs
116	말린 허브	Dried Herbs
117	허브+물	Herbs+Water
118	허브티	Herbal Tea
119	아이스티	Iced Tea
120	우유+설탕	Milk+Sugar
121	끓인 물	Boiled Water
122	흑당 펄	Brown Sugar Pearls
123	밀크티	Milk Tea
124	녹차 밀크티	Matcha Milk Tea
125	우롱 밀크티	Oolong Milk Tea
126	허브 밀크티	Herbal Milk Tea
127	타피오카 펄	Tapioca Pearls
128	삶은 펄	Cooked Tapioca Pearls
129	버블티	Bubble Tea
130	녹차 버블티	Matcha Bubble Tea
131	우롱 버블티	Oolong Bubble Tea
132	허브 버블티	Herbal Bubble Tea
133	설탕물	Sugar Water
134	설탕 시럽	Sugar Syrup
135	흑당 밀크티	Brown Sugar Milk Tea
136	흑당 버블티	Brown Sugar Bubble Tea
137	아몬드 가루	Almond Flour
138	달걀	Egg
139	깐 달걀	Peeled Egg
140	흰자	Egg White
141	노른자	Egg Yolk
142	섞인 달걀	Mixed Egg
143	버터	Butter
144	으깬 버터	Mashed Butter
145	커스터드 크림	Custard Cream
146	푸딩	Pudding
147	크림 브륄레	Crème Brûlée
148	버터 필링	Butter Filling
149	녹차 필링	Matcha Filling
150	홍차가루	Black Tea Powder
151	얼그레이 필링	Earl Grey Filling
152	흰자+설탕	Egg White+Sugar
153	머랭	Meringue
154	머랭 쿠키	Meringue Cookie
155	마카롱 반죽	Macaron Batter
156	마카롱 꼬끄	Macaron Shells
157	마카롱	Macaron
158	녹차 마카롱	Matcha Macaron
159	얼그레이 마카롱	Earl Grey Macaron
160	수플레 반죽	Soufflé Batter
161	수플레 팬케이크	Soufflé Pancake
162	크림화 버터	Creamed Butter
163	버터+노른자	Butter+Egg Yolk
164	계란 쿠키 반죽	Egg Cookie Dough
165	계란 쿠키	Egg Cookie
166	얼린 딸기	Frozen Strawberry
167	딸기 주스	Strawberry Juice
168	블루베리	Blueberry
169	얼린 블루베리	Frozen Blueberry
170	블루베리 주스	Blueberry Juice
171	망고	Mango
172	썬 망고	Sliced Mango
173	얼린 망고	Frozen Mango
174	망고 주스	Mango Juice
175	바나나	Banana
176	깐 바나나	Peeled Banana
177	얼린 바나나	Frozen Banana
178	요거트 가루	Yogurt Powder
