custom_index	source	kr	expected_from_reference	current_en
23	ko/en	〔{0}〕:  썰기  	  [{0}]:  Chop  	[{0}]:  Chop  
82	ko/en	연습 모드	Practice Mode	Practice
110	old_cafe	Joseon#31496 : WM3MW\r\nGummyBear#11798\r\n변기클라우드#3523	Joseon#31496 : Z1TBZ\r\nGummyBear#11798\r\n변기클라우드#3523	Joseon#31496 : Z1TBZ\r\nGummyBear#11798\r\nToiletCloud#3523
113	ko/en	〔{0}〕:  칼 장착  	  [{0}]:  Equip Knife  	[{0}]:  Equip Knife  
117	ko/en	〔{0}〕:  줍기  	  [{0}]:  Pick Up  	[{0}]:  Pick Up  
119	ko/en	〔{0}〕:  썰기  	  [{0}]:  Chop  	[{0}]:  Chop  
128	ko/en	  {0}{1} 준비 완료! (헤드셰프만 준비시간을 생략할 수 있습니다)  	  {0}{1} say ready to cook! (Head Chef can skip preparation time)  	  {0}{1} say ready to cook! (Only Head Chef can skip preparation time)  
140	ko/en	  {0}{1} 님이 게임을 시작하자고 합니다! 	  {0}{1} ready to cook! 	  {0}{1} wants to start the game! 
142	ko/en	  연습용 손님이 입장합니다! 	  Practice Customers are coming in! 	  Temporary Opening! Customers are coming in! 
143	ko/en	　　　　　주문서　　　　　	　　　　　Order List　　　　　	　　　　　Order Slip　　　　　
154	ko/en	  {1}{0}이(가) 제트팩을 장착했습니다! 	  {1}{0} has equipped a jetpack! 	  {1}{0} has equipped a Jetpack! 
155	ko/en	재료 뭉개기	Smash Material	Mash Ingredient
156	ko/en	〔{0}〕	[{0}]	〔{0}〕
157	ko/en	재료 뭉개기	Smash Material	Mash Ingredient
158	ko/en	〔{0}〕	[{0}]	〔{0}〕
159	ko/en	  당신이 이제 헤드셰프 입니다!  	  You are Now Head Chef!  	  You are now Head Chef!  
162	ko/en	  {0} : 주문한 칼 가지고 왔다네!	  {0} : I've brought the ordered knife!	  {0} : I brought the knife you ordered!
163	ko/en	  {0} : 무료 아이템을 나눠드릴게요!	  {0} : Free items for you!	  {0} : Free items for everyone!
181	ko/en	〔{0}〕 : 항목 변경	  [{0}] : Change Select	[{0}] : Change Item
192	ko/en	  완성도 있는 요리! +5%	  A well-prepared dish! +5%	  Well-Prepared Dish! +5%
193	ko/en	 #{0} : 서빙 성공! {1}/{2} 	 #{0} : Served! {1}/{2} 	 #{0} : Serving Success! {1}/{2} 
204	ko/en	  환상적인 서빙! +20% 	  A-mei-zing Served! +20%	  A-mei-zing Service! +20% 
207	ko/en	  신속한 서빙! +10% 	  Swift Served! +10%	  Swift Service! +10% 
210	ko/en	  완성도 있는 요리! +5% 	  A well-prepared dish! +5%	  Well-Prepared Dish! +5% 
211	ko/en	 #{0} : 서빙 성공! 	 #{0} : Served! 	 #{0} : Serving Success! 
213	ko/en	 #{0} : 서빙 성공! 	 #{0} : Served! 	 #{0} : Serving Success! 
222	ko/en	  {0}{1}의 입소문! 	  {0}{1}'s Promotional effect! 	  Word of mouth from {0}{1}! 
305	old_cafe	99/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/5/5/5/5/5/5/5/5/5/5/5/5/5/5/5/{0}	99/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/5/5/5/5/5/5/5/5/5/5/5/5/5/5/5/5/5/{0}	99/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/10/5/5/5/5/5/5/5/5/5/5/5/5/5/5/5/{0}
316	old_cafe	0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/{0}	0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/{0}	0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/{0}
