rule	ordinal	source	kr	en	placeholders
Global: Setting	5	source-phrase	요리사	Chef	
Global: Setting	6	source-phrase	홀 서버	Waiting Staff	
Global: Setting	7	source-phrase	수습생	Apprentice	
Global: Setting	8	manual-global	헤드셰프	Head Chef	
Global: Setting	9	manual-global	〔{0}〕 - 직책 변경	[{0}] - Change Role	{0}
Global: Setting	12	source-phrase	솥	Pot	
Global: Setting	13	manual-global	{0}초	{0}s	{0}
Global: Setting	14	manual-global	{0}초	{0}s	{0}
Global: Setting	15	source-phrase	오븐	Oven	
Global: Setting	16	manual-global	그릴	Grill	
Global: Setting	17	source-phrase	팬	Pan	
Global: Setting	18	manual-global	제빙기	Ice Maker	
Global: Setting	20	manual-global	싱크대	Sink	
Global: Setting	21	manual-global	냉장고	Fridge	
Global: Setting	22	manual-global	〔{0}〕:  물 내리기  	[{0}]:  Flush	{0}
Global: Setting	24	manual-global	도마	Cutting Board	
Global: Setting	25	manual-global	도마	Cutting Board	
Global: Setting	26	manual-global	〔{0}〕:  썰기  	[{0}]:  Chop	{0}
Global: Setting	27	manual-global+output-override	 칼이 없습니다  	  No Knife Available  	
Global: Setting	29	manual-global	튀김기	Fryer	
Global: Setting	30	manual-global	〔{0}〕: 영웅 변경	[{0}]: Change Hero	{0}
Global: Setting	32	manual-global	비어 있음	Empty	
Global: Setting	35	manual-global	비어 있음	Empty	
Global: Setting	38	manual-global	비어 있음	Empty	
Global: Setting	41	manual-global	비어 있음	Empty	
Global: Setting	44	manual-global	비어 있음	Empty	
Global: Setting	47	manual-global	비어 있음	Empty	
Global: Setting	50	manual-global	비어 있음	Empty	
Global: Setting	53	manual-global	비어 있음	Empty	
Global: Setting	55	manual-global	레스토랑(SPXXM) v260829\r\ndiscord&recipes : ow-restaurant.com/ko	Restaurant(HTNZ3) v260829\r\ndiscord&recipes : ow-restaurant.com/en	
Global: Setting	57	manual-global	Score : {0}{2}\r\n내 직책 : {1}	Score : {0}{2}\r\nMy Role : {1}	{0} {2} {1}
Global: Setting	61	manual-global	{0} 제작 중인 특수 칼:{1}개	{0} Special Knife:{1}	{0} {1}
Global: Setting	62	manual-global	{0} 솥:{1}% / 튀김&제빙:{2}%	{0} Pot:{1}% / Fryer&Ice:{2}%	{0} {1} {2}
Global: Setting	63	manual-global	{0} 솥:{1}% / 튀김:{2}%	{0} Pot:{1}% / Fryer:{2}%	{0} {1} {2}
Global: Setting	64	manual-global	{0} 팬:{1}% / 오븐:{2}%	{0} Pan:{1}% / Oven:{2}%	{0} {1} {2}
