line	item_expression
868	12
872	Global.DELUXE_DATA[2][0][Global.stageMode[1]]
876	Global.DELUXE_DATA[2][1][Global.stageMode[1]]
1066	Global.fridgeCode[Event Player.controlingIndex]
1076	Global.storageData[Event Player.controlingIndex][False]
1195	Last Of(Global.CUTTING_RESULT[Global.itemCode[First Of( Event Player.cookingIndex)]])
1277	Global.UPGRADE_CODE[Global.currentUpgrade][Event Player.selectedUpgrade]
1376	Global.KNIFE[Event Player.knifeCode]
1389	Global.PERK_LIST[False][Event Player.itemPerk]
1402	Global.PERK_LIST[True][Event Player.footPerk]
1437	Last Of( Global.CUTTING_RESULT[Global.itemCode[First Of(Event Player.cookingIndex)]])
1571	Global.PERK_LIST[False][Event Player.itemPerk]
1579	Global.PERK_LIST[True][Event Player.footPerk]
1587	Global.KNIFE[Event Player.knifeCode]
1747	Global.itemCode[Event Player.controlingIndex]
1758	Array(420, 424, 421, 422, 423, 425, 426, 427, 428, 429, 430, 431)[Random Value In Array(Global.STAGE_CODE[Global.stage])]
1934	Random Integer(2, 5)
1941	7
1950	Random Value In Array(Array(Global.DELUXE_DATA[1], Global.PERK_LIST[True])[Random Integer(False, True)])
2118	Global.ADDITIONAL_MATERIAL_LIST[Global.tableOrderCode[Event Player.tableIndex]][Event Player.additionalMaterialIndex]
2123	Global.ADDITIONAL_MATERIAL_LIST[Global.tableOrderCode[Event Player.tableIndex]]
2493	False
2533	(Hero Of(Event Player) == Hero(Ramattra)) ? Random Value In Array(Array(Global.DELUXE_DATA[1], Global.PERK_LIST[True])[Random Integer(False, True)]) : 18
3223	Global.ADDITIONAL_MATERIAL_LIST[Global.reservedOrder][Event Player.additionalMaterialIndex]
3229	Global.ADDITIONAL_MATERIAL_LIST[Global.reservedOrder]
3272	Global.potData[False]
3297	Global.potData[True]
3356	3
3367	7
3418	First Of(Global.upgradeList[True])
3648	First Of(Global.upgradeList[True])
3658	First Of(Global.upgradeList[2])
3682	18
