rule	ordinal	kr	en
		〔{0}〕:  물 내리기  	[{0}]:  Flush
		〔{0}〕:  썰기  	[{0}]:  Chop
		 칼이 없습니다  	No Knife Available
		레스토랑(SPXXM) v260829\r\ndiscord&recipes : ow-restaurant.com/ko	Restaurant(HTNZ3) v260829\r\ndiscord&recipes : ow-restaurant.com/en
		{0} 제작 중인 특수 칼:{1}개	{0} Special Knife:{1}
		모듬회밥!	Assorted Sashimi Rice Bowl!
		카페 & 디저트	Cafe & Dessert
		쿡제요리	World Cuisine
		제작: {0}	Created by: {0}
		Gummybear&변기클라우드\r\n난이도 : ★★★☆☆	GummyBear & ToiletCloud\r\nDifficulty: ★★★☆☆
		Joseon&Deadlock\r\n난이도 : ★★☆☆☆	Joseon & Deadlock\r\nDifficulty: ★★☆☆☆
		Joseon\r\n난이도 : ★★★★☆	Joseon\r\nDifficulty: ★★★★☆
		[{0}]: 테마 변경	[{0}]: Change Theme
		 방장이 테마를 결정하는 중입니다	 The host is choosing the theme
Global: Setting	80	연습 모드	Practice
Global: Setting	118	연습 모드	Practice Mode
Global subroutine: Scoreboard	8	연습 모드	Practice
Global subroutine: Other Menu	4	연습 모드	Practice Mode
		스타 비스트로	Buzzy Restaurant
		마스터쿡 챌린지	MasterChef Challenge
		헤드셰프 챌린지	HeadChef Challenge
		자유롭게 연습할 수 있는 샌드박스 모드 입니다	A sandbox mode where you can freely practice your skills.
		5개의 메뉴가 등장하는 수습 난이도를 클리어하세요	Complete the Apprentice with 5 menu items.
		모든 메뉴가 등장하는 숙련 난이도를 클리어하세요	Complete the Journeyman with the all menu.
		까다로운 손님들이 등장하는 전문 난이도를 클리어하세요	Complete the Professional featuring demanding customers.
		Hell's Kitchen 클리어에 도전하세요	Challenge the Hell's Kitchen Chef!
		완벽의 영역에 도전하세요	Challenge the perfect restaurant.
		[{0}]: 모드 변경	[{0}]: Rotate Mode
		 방장이 모드를 결정하는 중입니다	 Please wait for the host to decide the mode
		로드 중...	Loading...
		데이터 초기화 중...	Initializing data...
		다른 메뉴	Other Menus
		모든 손님	All
		Joseon-뉴 3호점	Joseon-K-Food(KR)
		Gummybear-오리지널	Gummybear-Original(KR)
		개시 하여 시작	Press Open to Start
		{0} v260829\r\n\r\n{1}레스토랑 테마 통합\r\n  레스토랑 모듬회밥에 카페&디저트 와 쿡제요리가 통합되었습니다\r\n{2}	{0} v260829\r\n\r\n{1}Restaurant Theme Integration\r\n  Cafe & Dessert and World Cuisine have been integrated into Assorted Sashimi Rice Bowl!\r\n{2}
		  테마는 게임 진입시와 연습모드에서 변경할 수 있습니다	  You can change the theme when entering the game or in Practice Mode.
		〔{0}〕:  칼 장착  	[{0}]:  Equip Knife
		〔{0}〕:  아이템 장착  	[{0}]:  Equip Item
		〔{0}〕:  줍기  	[{0}]:  Pick Up
		〔{0}〕 : 항목 변경	 [{0}] : Change Select 
		다음번에 상인이 칼을 가져올 것 입니다	Knife will be delivered when he came back
		특수 칼 뽑기 -${0}	Order Special Knife Random Box -${0}
		{0} 구매 -${1}	Purchase {0} -${1}
		연습용 손님이 입장합니다! 	Practice Customers are coming in!
		버그 수정 및 추가 업데이트를 적용하려면\r\n위의 코드로 게임을 다시 불러와주세요!	Please re-import code above\r\nto apply bug fixes and additional updates.
		수습 난이도	Apprentice
		숙련 난이도	Journeyman
		전문 난이도	Professional
		{0}fgFF3291FF>환상적인 영업!	{0}fgFF3291FF>A-mei-zing Service!
		성공적인 영업!	Successful Service!
		{0}fgC80013FF>보너스 영업 실패!	{0}fgC80013FF>Bonus Service Failed!
		{0}fgC80013FF>영업 실패!{0}fgFFFFFFFF> ({1} / {2})	{0}fgC80013FF>Service Failed!{0}fgFFFFFFFF> ({1} / {2})
