edition	item_index	kr	en	suggested_jp	basis
ORG	20	냉각총	Freeze Gun	冷却銃	descriptive
CAFE	20	냉각총	Freeze Gun	冷却銃	descriptive
CAFE	40	얼린 우유	Frozen Milk	冷凍ミルク	composed
CAFE	41	빙수 베이스	Shaved Ice Base	かき氷ベース	descriptive
CAFE	42	단팥	Sweet Red Beans	あんこ	localized
CAFE	43	팥빙수	Red Bean Shaved Ice	パッピンス	localized
CAFE	44	콩가루	Soybean Powder	きな粉	localized
CAFE	45	인절미 빙수	Injeolmi Shaved Ice	インジョルミピンス	localized
CAFE	46	팥절미 빙수	Red Bean Injeolmi Shaved Ice	インジョルミパッピンス	localized
CAFE	48	썬 딸기	Sliced Strawberry	薄切りイチゴ	composed
CAFE	49	딸기 빙수	Strawberry Shaved Ice	イチゴかき氷	composed
CAFE	50	초코 빙수	Chocolate Shaved Ice	チョコかき氷	composed
CAFE	51	딸기초코 빙수	Strawberry Chocolate Shaved Ice	イチゴチョコかき氷	composed
CAFE	52	녹차가루	Matcha Powder	抹茶パウダー	composed
CAFE	53	녹차 빙수	Matcha Shaved Ice	抹茶かき氷	composed
CAFE	54	녹차 팥빙수	Matcha Red Bean Shaved Ice	抹茶あんこかき氷	composed
CAFE	55	녹차초코 빙수	Matcha Chocolate Shaved Ice	抹茶チョコかき氷	composed
CAFE	57	초콜릿 칩	Chocolate Chips	チョコチップ	composed
CAFE	61	민트초코우유	Mint Chocolate Milk	チョコミントミルク	composed
CAFE	62	쿠키 반죽	Cookie Dough	クッキー生地	composed
CAFE	64	초코칩 쿠키 반죽	Chocolate Chip Cookie Dough	チョコチップクッキー生地	composed
CAFE	65	초코칩 쿠키	Chocolate Chip Cookie	チョコチップクッキー	composed
CAFE	66	초코 쿠키 반죽	Chocolate Cookie Dough	チョコクッキー生地	composed
CAFE	67	초코 쿠키	Chocolate Cookie	チョコクッキー	composed
CAFE	69	아몬드 슬라이스	Sliced Almonds	薄切りアーモンド	state_term
CAFE	70	구운 아몬드	Roasted Almonds	ローストアーモンド	state_term
CAFE	71	아몬드 초콜릿	Almond Chocolate	アーモンドチョコ	composed
CAFE	72	통 아몬드 쿠키 반죽	Whole Almond Cookie Dough	丸ごとアーモンドクッキー生地	composed
CAFE	73	통 아몬드 쿠키	Whole Almond Cookie	丸ごとアーモンドクッキー	composed
CAFE	74	아몬드 쿠키 반죽	Almond Cookie Dough	アーモンドクッキー生地	composed
CAFE	75	아몬드 쿠키	Almond Cookie	アーモンドクッキー	composed
CAFE	76	아몬드 초코칩 쿠키 반죽	Almond Choco Chip Cookie Dough	アーモンドチョコチップクッキー生地	composed
CAFE	77	아몬드 초코칩 쿠키	Almond Choco Chip Cookie	アーモンドチョコチップクッキー	composed
CAFE	78	아이스 초코	Iced Chocolate	アイスチョコ	localized
CAFE	79	초코 프라페	Chocolate Frappe	チョコフラッペ	composed
CAFE	80	아이스 민트초코	Iced Mint Chocolate	アイスチョコミント	localized
CAFE	81	민트초코 프라페	Mint Chocolate Frappe	チョコミントフラッペ	composed
CAFE	82	늘린 빵 반죽	Stretched Bread Dough	伸ばしたパン生地	state_term
CAFE	83	베이글 반죽	Bagel Dough	ベーグル生地	composed
CAFE	86	녹인 설탕	Melted Sugar	溶かした砂糖	state_term
CAFE	90	설탕 도넛	Sugar Donut	砂糖ドーナツ	composed
CAFE	91	글레이즈 도넛	Glazed Donut	グレーズドドーナツ	localized
CAFE	93	딸기+설탕	Strawberry+Sugar	イチゴ＋砂糖	composed
CAFE	95	딸기잼 도넛	Strawberry Jam Donut	イチゴジャムドーナツ	composed
