edition	item_index	kr	en	jp
ORG	0	탄 음식	Burnt Food	焦げ物
ORG	1	양산형 칼	Butter Knife	安物のナイフ
ORG	2	탄소강 칼	Carbon-Steel Knife	炭素鋼ナイフ
ORG	3	휴대용 칼	Portable Knife	携帯ナイフ
ORG	4	날카로운 칼	Sharp Knife	鋭いナイフ
ORG	5	겐지의 단검	Genji's Dagger	ゲンジの脇差
ORG	6	고급 부엌칼	Kitchen Knife	キッチンナイフ
ORG	7	헤드셰프의 칼	Head Chef's Knife	ヘッドシェフの包丁
ORG	8	에너지 드링크	Energy Drink	エナジードリンク
ORG	9	싼데비슷한 드링크	Sandevistan	怪しいスタンド
ORG	10	점프 부츠	Jump Boots	ジャンプブーツ
ORG	11	조미료 팩	Seasoning Packets	調味料パック
ORG	12	청소기	Vacuum	掃除機
ORG	13	대시 부츠	Dash Boots	ダッシュブーツ
ORG	14	텔레포트 스펠	Teleport Spell	テレポートスペル
ORG	15	요리 복사 스펠	Food Dupe Spell	料理複製スペル
ORG	16	토치	Gas Torch	ガストーチ
ORG	17	서빙볼	ServingBall	サービングボール
ORG	18	$100	$100	$100
ORG	19	보존식 박스	Food Box	保存食ボックス
ORG	20	냉각총	Freeze Gun	冷却銃
ORG	21	녹인 치즈	Melted Cheese	とろけたチーズ
ORG	22	로제 소스	Creamy Tomato Sauce	トマトクリームソース
ORG	23	치즈 감자튀김	Cheese Fries	チーズポテト
ORG	24	토마토 파스타	Tomato Pasta	トマトパスタ
ORG	25	크림 파스타	Creamy Pasta	クリームパスタ
ORG	26	로제 파스타	Creamy Tomato Pasta	トマトクリームパスタ
ORG	27	로제치즈 파스타	Creamy Tomato Cheese Pasta	トマトクリームチーズパスタ
ORG	28	크림치즈 파스타	Cream Cheese Pasta	クリームチーズパスタ
ORG	29	크림치즈 소스	Cream Cheese Sauce	クリームチーズソース
ORG	30	로제치즈 소스	Creamy Tomato Cheese Sauce	トマトクリームチーズソース
ORG	31	생 패티	Raw Patty	生パティ
ORG	32	익힌 패티	Cooked Patty	焼いたパティ
ORG	33	양상추	Lettuce	レタス
ORG	34	썬 양상추	Sliced Lettuce	薄切りレタス
ORG	35	구운 양상추	Grilled Lettuce	焼いたレタス
ORG	36	볶은 양상추	Stir-fried Lettuce	炒めたレタス
ORG	37	햄버거 빵	Burger Bun	ハンバーガーバンズ
ORG	38	아래 빵	Bottom Bun	下バンズ
ORG	39	윗 빵	Top Bun	上バンズ
ORG	40	빵+패티	B+P	バンズ＋パティ
ORG	41	빵+치즈	B+C	バンズ＋チーズ
ORG	42	빵+토마토	B+T	バンズ＋トマト
ORG	43	빵+양상추	B+L	バンズ＋レタス
ORG	44	빵+패티+치즈	B+P+C	バンズ＋パティ＋チーズ
ORG	45	빵+패티+토마토	B+P+T	バンズ＋パティ＋トマト
ORG	46	빵+패티+양상추	B+P+L	バンズ＋パティ＋レタス
ORG	47	빵+치즈+토마토	B+C+T	バンズ＋チーズ＋トマト
ORG	48	빵+치즈+양상추	B+C+L	バンズ＋チーズ＋レタス
ORG	49	빵+토마토+양상추	B+T+L	バンズ＋トマト＋レタス
ORG	50	빵+패+치+토	B+P+C+T	バンズ＋パティ＋チーズ＋トマト
ORG	51	빵+패+치+양	B+P+C+L	バンズ＋パティ＋チーズ＋レタス
ORG	52	빵+패+토+양	B+P+T+L	バンズ＋パティ＋トマト＋レタス
ORG	53	빵+치+토+양	B+C+T+L	バンズ＋チーズ＋トマト＋レタス
ORG	54	빵+패+치+토+양	B+P+C+T+L	バンズ＋パティ＋チーズ＋トマト＋レタス
ORG	55	고기 버거	Hamburger	ミートバーガー
ORG	56	치즈고기 버거	Cheeseburger	チーズミートバーガー
ORG	57	야채 버거	Veggie Burger	ベジバーガー
ORG	58	치즈야채 버거	Veggie CheeseBurger	チーズベジバーガー
ORG	59	일반 버거	Deluxe Burger	デラックスバーガー
ORG	60	치즈 버거	Cheese Deluxe Burger	チーズデラックスバーガー
ORG	61	소고기	Beef	牛肉
ORG	62	썬 소고기	Sliced Beef	薄切り牛肉
ORG	63	스테이크	Steak	ステーキ
ORG	64	찹스테이크	Steak Bites	ひとくちステーキ
ORG	65	감자	Potato	ジャガイモ
ORG	66	닭고기	Chicken	鶏肉
ORG	67	썬 닭고기	Sliced Chicken	薄切り鶏肉
ORG	68	조각낸 닭고기	Chopped Chicken	角切り鶏肉
ORG	69	파	Green Onion	ネギ
ORG	70	썬 파	Sliced Green Onion	薄切りネギ
ORG	71	다진 파	Minced Green Onion	刻みネギ
ORG	72	튀김가루	Frying Mix	天ぷら粉
ORG	73	고추장	Red Pepper Paste	コチュジャン
ORG	74	간장	Soy Sauce	醤油
ORG	75	물엿	Corn Syrup	水飴
ORG	76	고추장 소스	Red Pepper Sauce	コチュジャンソース
ORG	77	간장 소스	Sweet Soy Sauce	醤油ソース
ORG	78	파닭 소스	Green Onion+Soy Sauce	醤油ネギソース
ORG	79	양념 소스	Sweet&Spicy Sauce	ヤンニョムソース
ORG	80	구운 닭	Grilled Chicken	焼いた鶏肉
ORG	81	닭+튀김가루	Chicken+Frying Mix	鶏肉＋天ぷら粉
ORG	82	썬 닭+튀김가루	Sliced Chicken+Frying Mix	薄切り鶏肉＋天ぷら粉
ORG	83	조각 닭+튀김가루	Chopped Chicken+Frying Mix	角切り鶏肉＋天ぷら粉
ORG	84	튀긴 조각 닭	Chicken Nugget	から揚げ
ORG	85	후라이드 치킨	Fried Chicken	フライドチキン
ORG	86	양념치킨	Sweet&Spicy Chicken	ヤンニョムチキン
ORG	87	고추장 치킨	Red Pepper Chicken	コチュジャンチキン
ORG	88	간장 치킨	Sweet Soy Sauce Chicken	醤油チキン
ORG	89	닭강정	Sweet&Spicy Chicken Nugget	ヤンニョムから揚げ
ORG	90	통닭	Fried Whole Chicken	鶏の丸揚げ
ORG	91	볶은 파	Stir-fried Green Onion	炒めたネギ
ORG	92	튀긴 파	Fried Green Onion	揚げたネギ
ORG	93	삶은 닭고기	Boiled Chicken	ゆで鶏肉
ORG	94	구운 파	Grilled Green Onion	焼いたネギ
ORG	95	튀김 부스러기	Frying Crumbs	天かす
ORG	96	파닭	Green Onion Sweet Soy Sauce Chicken	醤油ネギチキン
ORG	97	양념+튀긴 조각 닭	Raw S&S Chicken Nugget	生ヤンニョム＋から揚げ
ORG	98	뭉갠 토마토	Mashed Tomato	潰したトマト
ORG	99	깨진 달걀	Broken Egg	割れた卵
ORG	100	달걀	Egg	卵
ORG	101	삶은 달걀	Boiled Egg	ゆで卵
ORG	102	깐 삶은 달걀	Peeled Boiled Egg	殻剥きゆで卵
ORG	103	으깬 삶은 달걀	Mashed Boiled Egg	潰したゆで卵
ORG	104	깐 달걀	Peeled Egg	殻剥き卵
ORG	105	김치볶음밥	Kimchi Fried Rice	キムチチャーハン
ORG	106	계란볶음밥	Egg Fried Rice	卵チャーハン
ORG	107	불고기쌈밥	Bulgogi Wrap Rice	プルコギサムパプ
ORG	108	섞인 달걀	Mixed Egg	溶き卵
ORG	109	계란 후라이	Fried Egg	目玉焼き
ORG	110	스크램블 에그	Scrambled Egg	スクランブルエッグ
ORG	111	계란찜	Steamed Egg	茶碗蒸し
ORG	112	쌀	Raw Rice	米
ORG	113	피자 치즈	Shredded Mozzarella	ピザ用チーズ
ORG	114	밀가루	Flour	小麦粉
ORG	115	밀가루 반죽	Flour Dough	小麦粉生地
ORG	116	작은 밀가루 반죽	Small Flour Dough	小さい小麦粉生地
ORG	117	핀 밀가루 반죽	Rolled Flour Dough	伸ばした小麦粉生地
ORG	118	만두피	Dumpling Wrapper	餃子の皮
ORG	119	피자 도우	Flour Pizza Dough	ピザ生地
ORG	120	밀 토르티야	Flour Tortilla	小麦トルティーヤ
ORG	121	페퍼로니	Pepperoni	ペパロニ
ORG	122	베이컨	Bacon	ベーコン
ORG	123	구운 베이컨	Grilled Bacon	焼いたベーコン
ORG	124	썬 베이컨	Sliced Bacon	薄切りしたベーコン
ORG	125	도우+소스	Pizza Dough+Sauce	生地＋ソース
ORG	126	치즈 피자	Mozzarella Pizza	チーズピザ
ORG	127	피자 베이스	Pizza Base	ピザベース
ORG	128	피자+페퍼로니	PB+Pepperoni	ピザ＋ペパロニ
ORG	129	피자+베이컨	PB+Bacon	ピザ＋ベーコン
ORG	130	피자+감자	PB+Potato	ピザ＋ジャガイモ
ORG	131	피자+베이컨+감자	PB+Bacon+Potato	ピザ＋ベーコン＋ジャガイモ
ORG	132	페퍼로니 피자	Pepperoni Pizza	ペパロニピザ
ORG	133	베이컨 피자	Bacon Pizza	ベーコンピザ
ORG	134	포테이토 피자	Potato Pizza	ポテトピザ
ORG	135	베이컨 포테이토 피자	Bacon Potato Pizza	ベーコンポテトピザ
ORG	136	계란말이	Rolled Omelette	卵焼き
ORG	137	구운 페퍼로니	Grilled Pepperoni	焼いたペパロニ
ORG	138	구운 썬 베이컨	Grilled Sliced Bacon	焼いた薄切りベーコン
ORG	139	삶은 소고기	Boiled Beef	ゆで牛肉
ORG	140	빵가루	Breadcrumbs	パン粉
ORG	141	채썬 계란말이	Shredded Rolled Omelette	千切り卵焼き
ORG	142	김치	Kimchi	キムチ
ORG	143	썬 김치	Sliced Kimchi	薄切りキムチ
ORG	144	다진 김치	Minced Kimchi	刻んだキムチ
ORG	145	볶은 김치	Stir-fried Kimchi	炒めたキムチ
ORG	146	계란김치볶음밥	Egg Kimchi Fried Rice	卵とキムチの炒飯
ORG	147	두부	Tofu	豆腐
ORG	148	썬 두부	Sliced Tofu	薄切り豆腐
ORG	149	두부 구이	Grilled Tofu	焼き豆腐
ORG	150	두부 볶음	Stir-fried Tofu	豆腐の炒め物
ORG	151	으깬 두부	Mashed Tofu	潰した豆腐
ORG	152	불고기덮밥	Bulgogi Rice Bowl	プルコギ丼
ORG	153	김치불고기덮밥	Kimchi Bulgogi Rice Bowl	キムチプルコギ丼
ORG	154	다진 소고기	Minced Beef	牛ひき肉
ORG	155	썬 소고기+간장	Sliced Beef+Soy Sauce	薄切り牛肉＋醤油
ORG	156	불고기	Bulgogi	プルコギ
ORG	157	당면	Glass Noodles	春雨
ORG	158	썬 당면	Sliced Glass Noodles	切った春雨
ORG	159	돼지고기	Pork	ポーク
ORG	160	썬 돼지고기	Sliced Pork	薄切りポーク
ORG	161	다진 돼지고기	Minced Pork	ポークミンチ
ORG	162	구운 돼지고기	Grilled Pork	焼いたポーク
ORG	163	튀긴 돼지고기	Fried Pork	揚げたポーク
ORG	164	수육	Boiled Pork	ボイルドポーク
ORG	165	볶은 돼지고기	Stir-fried Pork	炒めたポーク
