rule	ordinal	kr	jp
		오븐	オーブン
		제빙기	製氷機
Global: Setting	22	〔{0}〕:  물 내리기  	〔{0}〕:  水を流す\x20\x20
Global: Setting	26	〔{0}〕:  썰기  	〔{0}〕:  薄切り\x20\x20
		 칼이 없습니다  	キッチンナイフなし
		레스토랑(SPXXM) v260830\r\ndiscord&recipes : ow-restaurant.com/ko	レストラン(4ND1P) v260830\r\ndiscord&recipes : ow-restaurant.com/ja
		{0} 솥:{1}% / 튀김&제빙:{2}%	{0} 鍋:{1}% / フライヤー&製氷機:{2}%
		{0} 팬:{1}% / 오븐:{2}%	{0} フライパン:{1}% / オーブン:{2}%
		제작: {0}	制作: {0}
		[{0}]: 테마 변경	[{0}]: テーマ変更
		 방장이 테마를 결정하는 중입니다	 ホストがテーマを選択中です
		로드 중...	ロード中...
		데이터 초기화 중...	データ初期化中...
		{0} v260830\r\n\r\n{1}레스토랑 테마 통합\r\n  레스토랑 모듬회밥에 카페&디저트 와 쿡제요리가 통합되었습니다\r\n{2}	{0} v260830\r\n\r\n{1}レストランテーマ統合\r\n  レストランにカフェ&デザートと世界の料理が統合されました\r\n{2}
		  테마는 게임 진입시와 연습모드에서 변경할 수 있습니다	  テーマはゲーム開始時と練習モードで変更できます
		{0} 밸런스 수정\r\n\r\n  거대식가의 서빙 성공 보상이 5 -> 10 으로 증가하였습니다.\r\n{1}	{0} バランス調整\r\n\r\n  大食い巨人のサービング成功報酬が5から10に増加しました。\r\n{1}
		  수상한 드링크->싼데비슷한 드링크 - 시간 감속 비율이 더 감소하고 이제 사용시 모두의 칼 내구도를 회복합니다.	  怪しいドリンク->怪しいスタンド - 時間減速率がさらに低下し、使用時に全員のナイフ耐久度を回復するようになりました。
		[{0}] - 연습모드용 아이템 생성	[{0}] - 練習モード用アイテム生成
Player: Control item	1	〔{0}〕:  칼 장착  	〔{0}〕:  セット\x20\x20
Player: Control item	3	〔{0}〕:  아이템 장착  	〔{0}〕:  セット\x20\x20
Player: Control item	5	〔{0}〕:  줍기  	〔{0}〕:  GET\x20\x20
Player: Control item	7	〔{0}〕:  썰기  	〔{0}〕:  切る\x20\x20
Player: Ultimate button	3	재료 뭉개기	材料つぶし
		저장고	保存用バット
		무작위 도구	ランダム道具
		튀김기&제빙기	フライヤー&製氷機
		내 이동 속도 증가	私のスピードアップ
		팀 영업 시간 증가	チームの営業タイムアップ
Dummy: Spawn	24	평범한 손님/재앙은끝나지않았다/깐깐한 손님/성급한 손님/푸드파이터/예약 손님/음식 평론가/먹방 유튜버/괴식가/탱장연 대표/엘버피 VVIP/요리연구가/{0}	普通の客/ワンマン・アポカリプス/厳しい客/せっかちな客/フードファイター/予約客/フード評論家/モクバンユーチューバー/壊食家/マウガ専/エルバーピ VVIP/料理研究家/{0}
Dummy: Spawn	25	혼밥 손님/수상한 손님/여우같은 손님/미식가/대혼돈의 손님/관심이가는손님/배달냥이/조용히힐이나하게나/시끄러운 손님	一人客/怪しい客/稲荷神/グルメ/混乱した客/苦しむ客/配達にゃんこ/名誉とビールのために/クレーマー客
Dummy: Spawn	27	평범한 손님/대식가/깐깐한 손님/성급한 손님/푸드파이터/예약 손님/음식 평론가/먹방 유튜버/괴식가/포악한 손님/엘버피 VVIP/요리연구가/{0}	普通の客/大食い/厳しい客/せっかちな客/フードファイター/予約客/フード評論家/モクバンユーチューバー/壊食家/暴悪な客/エルバーピ VVIP/料理研究家/{0}
Dummy: Spawn	28	혼밥 손님/수상한 손님/여우같은 손님/미식가/대혼돈의 손님/관심이가는손님/배달냥이/거대식가/시끄러운 손님	一人客/怪しい客/稲荷神/グルメ/混乱した客/苦しむ客/配達にゃんこ/大食い巨人/クレーマー客
		왜!? 이게 아냐!! 메뉴판이..!	なぜだ!? こんなはずでは…!! メニューが…!
		 #{0} : 환상적인 서빙! 	 #{0} : ファンタスティックなサービング!\x20
		 #{0} : 신속한 서빙! 	 #{0} : 迅速なサービング!\x20
		설득 시간 초과!	説得タイムオーバー!
		{0}의 잘못된 정치질!	{0}の間違った政治活動!
		흑화 조심!	闇落ち注意!
		완성도 낮은 요리!	完成度の低い料理!
		맥주를 찾으러 돌진함!	ビールを探しに突進した!
		시간 초과!	タイムオーバー!
		{0}의 잘못된 서빙!	{0}の間違ったサービング!
		혼란에 빠져 도망침!	混乱して逃げ出した!
		순서 조심!	順番注意!
Global subroutine: Start stage	22	영업 완료!	立派な営業!
Global subroutine: Start stage	26	영업 완료!	営業完了!
		{0}{1} - {2} 직책 변경!	{0}{1} - {2} 役職変更!
		 {0} 애옹 OwO 	 {0} にゃー (=^・ω・^=)  
		 {0} 오빠 달린다~ 헤이! 	 {0} マウガの精神！ 
Global subroutine: Knife Hud	1	다이소에서 파는\r\n평범한 칼입니다	ダイソーで売ってそうな\r\nありふれたナイフです
Global subroutine: Knife Hud	4	내구도와 성능이 무난한\r\n주방용 칼입니다	食材をより速く切れ、\r\n耐久性も高い
Global subroutine: Knife Hud	7	재료를 손에 들고 바로 썰 수 있는\r\n전설적인 칼입니다	食材を手に持ったまま\r\n切れる伝説のナイフ
Global subroutine: Knife Hud	10	내구도와 성능이 뛰어난\r\n고급 칼입니다	素早く切れ、\r\n耐久値がほとんど減らない
Global subroutine: Knife Hud	11	재료를 손에 들고 썰 수 있는\r\n희귀한 칼입니다	食材を手に持ったまま\r\n切ることができる
Global subroutine: Knife Hud	12	내구도와 성능이 압도적인\r\n희귀한 칼입니다	食材を\r\n2倍の速さで切れる
Global subroutine: Knife Hud	13	도마에서 아주 빠른 속도로\r\n연격할 수 있습니다	まな板で\r\n高速連撃ができる
Global subroutine: Perk Hud	4	100초간 도마에서 써는 속도와\r\n이동속도가 증가합니다	100秒間、まな板で切る速度と\r\n移動速度が上昇する
Global subroutine: Perk Hud	5	잠시 모든 시간이 느려지며\r\n칼+이속+조리기구 속도가 폭주합니다	短時間バレットタイムを発動し、\r\nすべての動作速度を超加速させる
Global subroutine: Perk Hud	6	손에 재료를 들고 사용하면\r\n재료의 신선도 회복합니다	食材を手に持って使うと\r\n鮮度を回復する
Global subroutine: Perk Hud	7	필요 없는 재료를 빨아들여\r\n설거지로 부터 해방되세요	不要な食材を吸い込み、\r\n片付けから解放されよう!
Global subroutine: Perk Hud	8	손에 재료를 들고 사용하면\r\n음식이 복사가 됩니다	食材を手に持って使うと\r\n料理を複製できる
Global subroutine: Perk Hud	9	{0}까지 가지 않아도\r\n재료를 구울 수 있습니다	{0}まで行かなくても\r\n食材を直火で焼ける
Global subroutine: Perk Hud	12	햄스터가 아르바이트를 구한다\r\n라고 함	ハムスター曰く\r\nアルバイト希望
Global subroutine: Perk Hud	13	현재 라운드에 도움이 되는 재료 팩을 꺼냅니다\r\n팩은 칼로 뜯을 수 있습니다	現在のラウンドに役立つ食材パックを出す\r\nパックはナイフで開封できる
Global subroutine: Perk Hud	14	제빙기까지 가지 않아도\r\n재료를 얼릴 수 있습니다	製氷機まで行かなくても\r\n食材を凍らせられる
Global subroutine: Foot Hud	3	공중에서 높게 점프하여\r\n높은 곳에 올라갈 수 있습니다	空中へ高く跳び\r\n高い階へ移動できる
Global subroutine: Foot Hud	4	앞으로 빠르게 대시하는\r\n다재다능한 신발입니다	前方へ素早くダッシュできる\r\n多用途なブーツ
Global subroutine: Foot Hud	5	주문서에 있는 음식을 들고 사용하면\r\n테이블 앞으로 순간이동합니다	注文された料理を持って使うと\r\nそのテーブルの前へテレポートする
		{0}fgC72BD4FF>기초적인 임플란트 가동.	{0}fgC72BD4FF>ザ・ワールド！時よ止まれ！
Global subroutine: Set Hint Text	1	재료는 도마에서 썰거나 다져서 다른 요리를 만들 수 있습니다.\r\n썬 소고기를 팬이나 그릴에 구워주세요.	材料はまな板で薄切りにしたり刻んだりすると、別の料理が作れます。\r\n薄切り牛肉をフライパンまたはグリルで焼いてみてください。
Global subroutine: Set Hint Text	2	재료의 손질과 각기 다른 조리기구의 활용으로 다양한 요리를 만들 수 있습니다.\r\n감자를 통째로 구우면 구운 감자가 되고...	材料を下ごしらえし、さまざまな調理器具を使い分けることで、多彩な料理が作れます。\r\nたとえば、ジャガイモを丸ごと焼くと焼きジャガイモになり…
Global subroutine: Set Hint Text	3	감자를 썰어서 팬에 올리면 볶은 감자가 되고...	ジャガイモを薄切りにしてフライパンで調理すると炒めジャガイモになり…
Global subroutine: Set Hint Text	4	썬 감자를 튀김기에 올리면 감자튀김이 되는 식입니다.\r\n어떤 느낌인지 감이 오셨나요?	薄切りジャガイモをフライヤーに入れるとフライドポテトになります。\r\nだんだんコツがつかめてきましたか？
Global subroutine: Set Hint Text	5	어떤 재료는 강하게 내려치면 변하기도 합니다.\r\n감자를 솥에 쪄서 찐 감자를 관성을 이용해 바닥에 던져보세요.	食材の中には、強く叩くと変化するものもあります。\r\nジャガイモを鍋で蒸してから、勢いをつけて蒸しジャガイモを床に叩きつけてみてください。
Global subroutine: Set Hint Text	6	또한 일부 재료는 합칠 수 있습니다.\r\n삶은 파스타와 크림 소스를 맞대어 합쳐보세요.	また、一部の食材は組み合わせることもできます。\r\nゆでパスタとクリームソースを合わせてみてください。
Global subroutine: Set Hint Text	7	토마토는 썰어서 솥에 찌면 토마토 소스를 만들 수 있지만..\r\n써는 대신 내려치면 더 빠르게 뭉갠 토마토로 만들 수 있습니다.	トマトを薄切りにして鍋で蒸すと、トマトソースが作れますが…\r\n薄切りにする代わりに叩けば、もっと素早く潰したトマトにできます。
Global subroutine: Set Hint Text	8	손님에 따라 다른 특성들도 있습니다.\r\n대식가의 경우에는 점수를 더 많이 주지만 음식을 2번 서빙해야 합니다.	お客様にはそれぞれ異なる特性があります。\r\n大食いのお客様は高得点ですが、料理を2回提供する必要があります。
		닭고기 + 튀김가루 > 튀김기	鶏肉 + 天ぷら粉 > フライヤー
		조각낸 닭고기 + 튀김가루 > 튀김기	角切り鶏肉 + 天ぷら粉 > フライヤー
		모든 양념은 후라이드 치킨에 추가할 수 있습니다.\r\n간장 + 물엿	フライドチキンには、どのソースも追加できます。\r\n醤油 + 水飴
		고추장 + 물엿	コチュジャン + 水飴
		고추장 + 간장 + 물엿	コチュジャン + 醤油 + 水飴
		썬 파 + 간장 소스	薄切りネギ + 醤油ソース
		조심하세요! 자신보다 늦게 온 손님을 먼저 서빙하면 실패하는 손님 유형이 있습니다.	後から来たお客様に先に料理を提供すると、帰ってしまうお客様もいます。
		예약 손님은 입장 전에 미리 주문을 합니다.\r\n가운데 잠깐 표시되는 예약 메시지를 주의 깊게 보고 기억하세요!	予約客は入場前に注文します。\r\n画面中央に短時間表示される予約メッセージを覚えてください。
		밀가루 반죽 을 자르고 다시 내려쳐 만두피를 만들 수 있습니다.	小麦粉生地を切り、もう一度叩くと餃子の皮を作れます。
		다진 파 + 으깬 두부 + 만두피 > 솥에 찌기	刻みネギ + 潰した豆腐 + 餃子の皮 > 鍋で蒸す
		다진 파 + 으깬 두부 + 만두피 > 팬에 굽기	刻みネギ + 潰した豆腐 + 餃子の皮 > フライパンで焼く
		다진 파 + 으깬 두부 + 썬 당면 + 다진 돼지고기 + 만두피 > 솥에 찌기	刻みネギ + 潰した豆腐 + 切った春雨 + ポークミンチ + 餃子の皮 > 鍋で蒸す
Global subroutine: Set Hint Text	31	다진 파 + 다진 김치 + 썬 당면 + 다진 돼지고기 + 만두피 > 솥에 찌기	刻みネギ + 刻みキムチ + 切った春雨 + ポークミンチ + 餃子の皮 > 鍋で蒸す
		아래 빵 + 익힌 패티 + 슬라이스 치즈 + 윗 빵	下バンズ + 焼いたパティ + 薄切りチーズ + 上バンズ
		아래 빵 + 썬 양상추 + 썬 토마토 + 윗 빵	下バンズ + 薄切りレタス + 薄切りトマト + 上バンズ
		아래 빵 + 썬 토마토 + 썬 양상추 + 슬라이스 치즈 + 윗 빵	下バンズ + 薄切りトマト + 薄切りレタス + 薄切りチーズ + 上バンズ
		아래 빵 + 익힌 패티 + 썬 양상추 + 썬 토마토 + 윗 빵	下バンズ + 焼いたパティ + 薄切りレタス + 薄切りトマト + 上バンズ
		https://ow-restaurant.com/ko 에서\r\n이 테마의 레시피를 확인하실 수 있습니다.	https://ow-restaurant.com/ja で\r\nこのテーマのレシピを確認できます。
Global: Setting	89	 방장이 모드를 결정하는 중입니다	 ホストがモードを選択中です
